Ulasan;label
"cocok, lancar jaya. tinggal aktivasi office hehehe";senang
"barang sesuai pesanan,.fitur ny ok,.produk ori,.pengiriman cepat..";senang
"Pengiriman agak lama, karena ganti gudang. Kualitas mantap. Laptopnya Ideal buat kerja, tapi bisa di geber main game";sedih
"mantap, laptopnya sesuai kebutuhan saya, dan adminnya gercep";senang
produk ok bnget utk harga segt;tertarik
"Barang bagus, kurir cepat sampai";senang
"barang bagus, sesuai spesifikasi.";
"Kualitas kabelnya bagus, untuk harganya termasuk terjangkau. Beli banyak juga buat stok.";tertarik
"banyak peningkatan, dari rebranding, dari kotaknya, semoga produk lokal semakin banyak di kenal";senang
emang gak bohong kalau ini laptop.. terjangkau dan terbaik. ada instan dan same day.. pasti barangnya ready.. gak pre order..;tertarik
"performa baik, harga ok";senang
performa nya keren parah sih;senang
"Alhamdulillah, barang di terima di Kaltim dengan aman :D semoga awet dan bermanfaat";senang
mantab pkoknya;senang
"Masih dapat unit yang di bagian bawah nya agak kebuka sebagian, padahal udah banyak ulasan minta diperbaiki. Jangka waktu PO sampai dikirim dapet 15 hari, nggak selama ya... ";marah
"packing rapi,bubble wrap tebal,tidak ada penyok, hanya minus di kardus";netral
"Pengiriiman cepat, barang sesuai dengan pesanan dan sesuai ekspetasi. Sangat puas.";senang
"walaupun menunggu agak lama, tapi hasilnya ok. packingannya bagus, brgnya tiba dgn selamat di Jayapura. laptop blm digunakan jadi blm bisa komen soal fungsinya";netral
mantabb;senang
"ikutan PO dari tanggal 22 Okt, barang nyampe dgn selamat tanggal 29. packing nya pakai bubble warp tebel aja dan Alhamdulillah aman. Overall puas dengan unit yg diterima... ";senang
cepat dan tepat Warnanya kece;senang
bagus;senang
semoga awet dan bermanfaat;netral
Spek gacor;senang
"Kualitas mantap, original, bergaransi harga bersahabat.";senang
"over all bagus, laptopnya bagus bgt semoga awet, next order lagi prodak advan";tertarik
"Desainnya simpel dan  Tampilannya keren ?? Proses pesanan cepat, Respon penjualnya top";senang
setelah preorder barang dateng;netral
"pengiriman cepat, barang bagus nggak ada yang cacat. semoga awet";netral
"laptop sih ok, cuma minus nya belum termasuk OHS ya jadi haru beli OHS lagi, padahal namanya workplus tapi gk bisa di pake kerja karna gk ada OHS nya";netral
